"example_id","task","book_id","class_level","page_number","question","options","answer","evidence_quote","automatic_decision","hard_errors","warnings","human_decision","reviewer","corrected_question","corrected_output_json","notes","source_preview"
"class7-english-page-0027-short_extractive_qa-v2","short_extractive_qa","class7-english","7","27","Who took Flora to the class after admission?","[]","the Head Teacher","The Head Teacher was pleased with Flora because she (Flora) looked very innocent.","PASS","","","","","","","","The Head Teacher was pleased with Flora because she (Flora) looked very innocent. had a sweet voice. could answer the Head Teacher’s questions. was very smart. Who took Flora to the class after admission? the Head Teacher Flora felt nervous in the class because it was a new place. the class teacher was very strict. she did not know any student in the class. the class did not welcome her. Make sent"
"class7-english-page-0041-generate_mcq-v2","generate_mcq","class7-english","7","41","According to Ms. Shahana Huda, what is one benefit of this new kind of shop?","[""You can bargain or haggle with the shopkeeper."", ""You can buy any stationery items like pens and pencils."", ""You don’t have to bargain or haggle with the shopkeeper over the prices of anything."", ""The shop sells only food items such as biscuits and bananas.""]","You don’t have to bargain or haggle with the shopkeeper over the prices of anything.","You don’t have to bargain or haggle with the shopkeeper over the prices of anything. Hridoy What is ‘haggle’ teacher?","PASS","","","","","","","","Lesson 5: Fixed Price Shop Keywords: bargain, haggle, offer, agree on Look at the shop and answer these questions. What kinds of things do you find in the shop? What are the students doing? Who is the shopkeeper? Read the text and answer the following questions. Ms Shahana Huda is talking to the students about a new kind of shop. Shahana ~- You can buy any stationery items here, like pens, pencils"
"class7-english-page-0041-short_extractive_qa-v2","short_extractive_qa","class7-english","7","41","What is ‘haggle’ teacher?","[]","You offer 200 taka or even less.","So you offer 200 taka or even less. The","PASS","","","","","","","","Lesson 5: Fixed Price Shop Keywords: bargain, haggle, offer, agree on Look at the shop and answer these questions. What kinds of things do you find in the shop? What are the students doing? Who is the shopkeeper? Read the text and answer the following questions. Ms Shahana Huda is talking to the students about a new kind of shop. Shahana ~- You can buy any stationery items here, like pens, pencils"
"class7-english-page-0044-short_extractive_qa-v2","short_extractive_qa","class7-english","7","44","What do Mrs Nazma and Mr Joynul Ali do from morning to night?","[]","Nazma does all the work at home from morning to night, rain or shine.","Nazma does all the work at home from morning to night, rain or shine. Sometimes she sits with Mitu and Nitu, and teaches them Bangla and English alphabets and some numbers.","PASS","","","","","","","","Unit Four: People Who Make a Difference 39 Lesson 7: The Homemaker (1) Where do you think the family lives? Ask and answer the question in pairs: What do you see in picture 1 / 2/ Read about the family. Mrs Nazma and Mr Joynul Ali live in a small village with their daughters, Mitu aged 7 and Nitu aged 5. Joynul is a carpenter. He is hired by the villagers to make chairs, tables, pira (low stool) a"
"class7-english-page-0054-generate_mcq-v2","generate_mcq","class7-english","7","54","Begum Rokeya believed that women should have the same rights and opportunities as men. What did she do to support this belief?","[""She taught Arabic and Persian in schools."", ""She fought for their cause throughout her life."", ""She worked as a Deputy Magistrate."", ""She was born in a village called Pairabondh, Rangpur.""]","She fought for their cause throughout her life.","So she fought for their cause throughout her life. Begum Rokeya was born in a village called Pairabondh, Rangpur in 1880.","PASS","","","","","","","","Unit Five: Great women to remember 49 Lesson 1: Begum Rokeya (1) Who is the woman? What do you know about her? Read about Begum Rokeya. Begum Rokeya (1880-1932) was a famous writer and a social worker. She lived in undivided Bengal in the early 20"" century. She believed that women should have the same rights and opportunities as men have in the society. So she fought for their cause throughout her"
"class7-english-page-0054-short_extractive_qa-v2","short_extractive_qa","class7-english","7","54","What did Begum Rokeya believe women should have?","[]","She believed that women should have the same rights and opportunities as men have in the society.","She believed that women should have the same rights and opportunities as men have in the society. So she fought for their cause throughout her life.","PASS","","","","","","","","Unit Five: Great women to remember 49 Lesson 1: Begum Rokeya (1) Who is the woman? What do you know about her? Read about Begum Rokeya. Begum Rokeya (1880-1932) was a famous writer and a social worker. She lived in undivided Bengal in the early 20"" century. She believed that women should have the same rights and opportunities as men have in the society. So she fought for their cause throughout her"
"class7-english-page-0059-generate_mcq-v2","generate_mcq","class7-english","7","59","Florence Nightingale worked with a group of nurses during which major conflict?","[""The American Civil War"", ""The Napoleonic Wars"", ""The Crimean War (1853-56)"", ""World War I""]","The Crimean War (1853-56)","on hospital ¢ Went to Turkey with a group of 38 nurses to work for the sick British soldiers during the Crimean War (1853-56) ¢ Worked day and night to help the wounded ¢ Returned to England: the Lady with the Lamp by the Times - role in nursing ¢ Set up Nightingale School for nurses in London Died-13 Au","PASS","","","","","","","","§ education self educated, learnt Bangla and English from brother 6 aim in life to help disabled people 7 achievements Now read the completed chart and write one or two sentences for each of the 8 points in the chart. Look at the examples. Point I: Begum Rokeya was born in 1880. Helen Keller was also Begum Rokeya was self educated and learnt Bangla and English from her brother. But Helen Keller go"
"class7-english-page-0059-short_extractive_qa-v2","short_extractive_qa","class7-english","7","59","What was Florence Nightingale's famous nickname?","[]","the Lady with the Lamp","during the Crimean War (1853-56) ¢ Worked day and night to help the wounded ¢ Returned to England: the Lady with the Lamp by the Times - role in nursing ¢ Set up Nightingale School for nurses in London Died-13 August 1910","PASS","","","","","","","","§ education self educated, learnt Bangla and English from brother 6 aim in life to help disabled people 7 achievements Now read the completed chart and write one or two sentences for each of the 8 points in the chart. Look at the examples. Point I: Begum Rokeya was born in 1880. Helen Keller was also Begum Rokeya was self educated and learnt Bangla and English from her brother. But Helen Keller go"
"class7-english-page-0062-short_extractive_qa-v2","short_extractive_qa","class7-english","7","62","What is this life if, full of care?","[]","This life if, full of care","What is this life if, full of care, We have no time to stand and stare.","PASS","","","","","","","","Unit Six: Leisure 57 Lesson 2: Leisure Keywords: stare, streams Read aloud and recite the poem. What is this life if, full of care, We have no time to stand and stare. No time to stand beneath the boughs, And stare as long as sheep or cows. No time to see, when woods we pass, Where squirrels hide their nuts in grass. No time to see, in broad day light, Streams full of stars, like skies at night. A"
"class7-english-page-0063-generate_mcq-v2","generate_mcq","class7-english","7","63","According to the text, what do some children do besides playing games?","[""They play football in the school playground."", ""They throw stones into squares and hop along them."", ""Some also share personal updates on Facebook by uploading posts and pictures."", ""Young children play this game on the ground.""]","Some also share personal updates on Facebook by uploading posts and pictures.","Some also share personal updates on Facebook by uploading posts and pictures. 3, Children often watch football matches of both national and international 4, Children often play football in the school playground.","PASS","","","ACCEPT","tushar","","","","58 ENGLISH FOR TODAY Lesson 3: What are They Doing? Keywords: glued to, upload, download, messages A- Work in groups. Look at the pictures and talk about what the boys and girls are doing. Nowread the paragraphs and match them with the pictures. 1, Young children play this game on the ground. The ground is marked by a set of joined squares. Each child throws a stone into a square, then hops (jumps"
"class7-english-page-0063-short_extractive_qa-v2","short_extractive_qa","class7-english","7","63","What do some children often do when they are glued to computers?","[]","They download games to play on them.","They download games to play on them. Some also share personal updates on Facebook by uploading posts and pictures.","PASS","","","ACCEPT","tushar","","","","58 ENGLISH FOR TODAY Lesson 3: What are They Doing? Keywords: glued to, upload, download, messages A- Work in groups. Look at the pictures and talk about what the boys and girls are doing. Nowread the paragraphs and match them with the pictures. 1, Young children play this game on the ground. The ground is marked by a set of joined squares. Each child throws a stone into a square, then hops (jumps"
"class7-english-page-0064-generate_mcq-v2","generate_mcq","class7-english","7","64","According to the passage, which activity can take place both in cities and villages?","[""studying for exams"", ""listening to music"", ""going on a picnic with family or friends"", ""attending music lessons""]","going on a picnic with family or friends","© studying for exams e listening to music ¢ visiting relatives on weekends ¢ attending music lessons reading story books ® going to movies helping parents with housework ¢ going on a picnic with family or friends e walking in the park on holidays Write answers to these questions.","PASS","","","","","","","","Unit Six: Leisure 59 Which activities mainly take place in cities and which activities mainly take place in villages? Also say which activity or activities can take place both in cities and villages. free-time or leisure activities and which are not? Why are they so? © studying for exams e listening to music ¢ visiting relatives on weekends ¢ attending music lessons reading story books ® going to "
"class7-english-page-0064-short_extractive_qa-v2","short_extractive_qa","class7-english","7","64","Which activities mainly take place in cities and which activities mainly take place in villages?","[]","Which activities mainly take place in cities and which activities mainly take place in villages?","Unit Six: Leisure 59 Which activities mainly take place in cities and which activities mainly take place in villages? Also say which activity or activities can take place both in cities and villages.","PASS","","","","","","","","Unit Six: Leisure 59 Which activities mainly take place in cities and which activities mainly take place in villages? Also say which activity or activities can take place both in cities and villages. free-time or leisure activities and which are not? Why are they so? © studying for exams e listening to music ¢ visiting relatives on weekends ¢ attending music lessons reading story books ® going to "
"class7-english-page-0069-generate_mcq-v2","generate_mcq","class7-english","7","69","What did Shima win a first prize for?","[""The 200 metre sprint"", ""A Bhawaiya song"", ""100 metre sprint"", ""A football match""]","100 metre sprint","Shima also told them how she won the first prize for 100 metre sprint in her school annual sports.","PASS","","","","","","","","“What sports do you take part in, Zishan?” asked Jahid. Zishan could not answer. There was no playground in his school and around his house. Shima also told them how she won the first prize for 100 metre sprint in her school annual sports. She sang a heart touching Bhawaiya song. Everybody clapped their hand in delight. Julie’s aunt Mrs Jahanara Khan told some funny jokes that made them laugh thei"
"class7-english-page-0069-short_extractive_qa-v2","short_extractive_qa","class7-english","7","69","What did Shima tell them she had won?","[]","the first prize for 100 metre sprint","Shima also told them how she won the first prize for 100 metre sprint in her school annual sports.","PASS","","","","","","","","“What sports do you take part in, Zishan?” asked Jahid. Zishan could not answer. There was no playground in his school and around his house. Shima also told them how she won the first prize for 100 metre sprint in her school annual sports. She sang a heart touching Bhawaiya song. Everybody clapped their hand in delight. Julie’s aunt Mrs Jahanara Khan told some funny jokes that made them laugh thei"
"class7-english-page-0070-short_extractive_qa-v2","short_extractive_qa","class7-english","7","70","What did the children do every afternoon?","[]","The children used to go and play in the Giant's garden.","The Selfish Giant Every afternoon, as they were coming from school, the children used to go and play in the Giant's garden. Tt was a large lovely garden, with soft green grass.","PASS","","","","","","","","Unit Six: Leisure 65 school and home. Also write who helps you with these activities. If you cannot do any of these activities, write why. Lesson 8: The Selfish Giant (1) Keywords: selfish, giant, gruff, trespasser Who do you think these people are? Where do you think they are? Can you guess what they are doing? Read the story silently. The family gathering in the yard carried on with laughter and"
"class7-english-page-0071-generate_mcq-v2","generate_mcq","class7-english","7","71","Why did the Giant build a high wall around his garden?","[""Because he wanted the children to play in it."", ""Because he was afraid of losing his garden."", ""My own garden is my own"", ""Because he enjoyed having visitors.""]","My own garden is my own","""My own garden is my own said the Giant.","PASS","","","ACCEPT","tushar","","","","with sweet fruit. The birds sat on the trees and sang so sweetly that the children used to stop their games in order to listen to them. 'How happy we are here!’ they cried to each other. One day the Giant came back. He had been to visit his friend in a distant land and had stayed with him for seven years. When he arrived, he saw the children playing in his garden. ""What are you doing here? cried t"
"class7-english-page-0071-short_extractive_qa-v2","short_extractive_qa","class7-english","7","71","How did the Giant react when he saw the children playing in his garden?","[]","""What are you doing here? cried the Giant in a very gruff voice.","""What are you doing here? cried the Giant in a very gruff voice. The children ran away in fear.","PASS","","","ACCEPT","tushar","","","","with sweet fruit. The birds sat on the trees and sang so sweetly that the children used to stop their games in order to listen to them. 'How happy we are here!’ they cried to each other. One day the Giant came back. He had been to visit his friend in a distant land and had stayed with him for seven years. When he arrived, he saw the children playing in his garden. ""What are you doing here? cried t"
"class7-english-page-0079-short_extractive_qa-v2","short_extractive_qa","class7-english","7","79","What’s the time of Ashish Biswas’s regular practice?","[]","at 7 o’clock in the morning","From Sunday to Thursday I go to the club at 7 o’clock in the morning.","PASS","","","","","","","","From Sunday to Thursday I go to the club at 7 o’clock in the morning. It’s the time for our regular practice. So, I have to get up by 6 o’clock. Usually on Monday the team doctor sees all the players. On Tuesday our coach shows us videos of important matches. We learn a lot from them. On Thursdays when we practise, our team manager watches our performance and keeps a record of that. Then he select"
"class7-english-page-0083-generate_mcq-v2","generate_mcq","class7-english","7","83","According to the passage, what does Moon typically eat for breakfast?","[""Two pieces of chapati and a portion of rice."", ""Two pieces of chapati and a portion of vegetables."", ""A banana and a glass of juice."", ""Three pieces of bread and milk.""]","Two pieces of chapati and a portion of vegetables.","She eats two pieces of chapati and a portion of vegetables. Sometimes she eatsa banana and drinks a glass of milk.","PASS","","","","","","","","What is the first thing you do when you get back home? How long do you watch television each day? your favourite programme? How often do you go out with your friends? Where do you go? What do you do together? What time do you go to bed? What is your dream for the future? H. Work in pairs. Ask and answer the above questions. Keep a record of your partner’s answers and write a paragraph about him or"
"class7-english-page-0083-short_extractive_qa-v2","short_extractive_qa","class7-english","7","83","What time do you go to bed?","[]","What time do you go to bed?","What time do you go to bed? What is your dream for the future?","PASS","","","","","","","","What is the first thing you do when you get back home? How long do you watch television each day? your favourite programme? How often do you go out with your friends? Where do you go? What do you do together? What time do you go to bed? What is your dream for the future? H. Work in pairs. Ask and answer the above questions. Keep a record of your partner’s answers and write a paragraph about him or"
"class7-english-page-0084-short_extractive_qa-v2","short_extractive_qa","class7-english","7","84","Which one/s are practised by women in your locality?","[]","Which of the above sports are commonly practised by women in your locality?","Which of the above sports are commonly practised by women in your locality? Which ones are practised by men?","PASS","","","ACCEPT","tushar","","","","Unit Seven: Games and Sports 79 Do men and women in our country enjoy any of these games or sports? Do you enjoy any of these or other games and sports? Which one/s? Which of the above sports are commonly practised by women in your locality? Which ones are practised by men? Work in pairs. Which of these activities are popular with the following age groups? Tick the activities. Then compare with yo"
"class7-english-page-0089-short_extractive_qa-v2","short_extractive_qa","class7-english","7","89","How many goals did Bangladesh score against Nepal in the match?","[]","scored two goals.","scored two goals. deficit k.","PASS","","","","","","","","Find the meanings of the underlined words and phrases from the article using a dictionary or the internet. Match the words/phrases in the left column with their meanings in the right column. maul a. to change or improve something scored a brace b. the beginning ruthless c. a goal that levels the score inception d. lack or shortage undone e. a final blow bullying f. to hurt badly injury time g. eff"
"class7-english-page-0097-generate_mcq-v2","generate_mcq","class7-english","7","97","According to the passage, what did Paul do when he was in a rickshaw?","[""He really likes sitting idly in a rickshaw."", ""He did not dislike walking along the village roads."", ""He loves taking pictures."", ""He hates sitting idly in a rickshaw.""]","He hates sitting idly in a rickshaw.","4 He hates sitting idly in a rickshaw. really dislikes, did not dislike, very much enjoys, __ really likes E.","REVIEW","","possible grammar error: did + was","","","","","","92 ENGLISH FOR TODAY D, Read the statements about and replace the underlined parts of each sentence with phrases given in the box. 1 Paul quite likes the green coconut drink. 2 He didn’t mind walking along the village roads. 3 He loves taking pictures. 4 He hates sitting idly in a rickshaw. really dislikes, did not dislike, very much enjoys, __ really likes E. Write your likes and dislikes in the "
"class7-english-page-0100-generate_mcq-v2","generate_mcq","class7-english","7","100","Q: (like) Does Mr. Jabbar like working with computers?","[""Yes, he loves working with computers."", ""No, he hates working with computers."", ""Yes, he likes working with computers."", ""No, he does not like working with computers.""]","Yes, he loves working with computers.","A: (Yes, love) Yes, he loves working with computers. Rabiul goes shopping at the weekend.","PASS","","","","","","","","Unit Eight: Likes and Dislikes doesn’t appropriately under each member of Paul’s family. Two are done for you. Thing/activity Paul Sister making sandwiches watching animals sitting idly on grass watching others pla’ watching animals Now write sentences using the table about people in Paul’s family and your family. The first two are done for you. 1, Paul likes watching animals. I like watching anim"
"class7-english-page-0100-short_extractive_qa-v2","short_extractive_qa","class7-english","7","100","What does Paul like?","[]","watching animals","Thing/activity Paul Sister making sandwiches watching animals sitting idly on grass watching others pla’ watching animals Now write sentences using the table about people in Paul’s family and your family.","PASS","","","","","","","","Unit Eight: Likes and Dislikes doesn’t appropriately under each member of Paul’s family. Two are done for you. Thing/activity Paul Sister making sandwiches watching animals sitting idly on grass watching others pla’ watching animals Now write sentences using the table about people in Paul’s family and your family. The first two are done for you. 1, Paul likes watching animals. I like watching anim"
"class7-english-page-0105-generate_mcq-v2","generate_mcq","class7-english","7","105","According to the booklet, what are all the pictures about?","[""hot summer day"", ""temperatures being in crisis If things go on like this..."", ""the dangers caused by climate change"", ""Samina & Arif’s reaction""]","the dangers caused by climate change","All these pictures are about the dangers caused by climate change.","PASS","","","","","","","","Anwar lam going to give you a booklet now. Please read it and you’ll know more about climate change. Samina & Arif: Thank you, Uncle. We will certainly read it. Choose the right answer. 1 Which one of these is an example of climate change? a hot summer day 2 What does ‘climbing’ mean in the statement “temperatures are being in crisis If things go on like this... In this sentence ‘go on’ means to c"
"class7-english-page-0105-short_extractive_qa-v2","short_extractive_qa","class7-english","7","105","What did Anwar plan to give Samina and Arif?","[]","Anwar lam going to give you a booklet now.","Anwar lam going to give you a booklet now. Please read it and you’ll know more about climate change.","PASS","","","","","","","","Anwar lam going to give you a booklet now. Please read it and you’ll know more about climate change. Samina & Arif: Thank you, Uncle. We will certainly read it. Choose the right answer. 1 Which one of these is an example of climate change? a hot summer day 2 What does ‘climbing’ mean in the statement “temperatures are being in crisis If things go on like this... In this sentence ‘go on’ means to c"
"class7-english-page-0111-short_extractive_qa-v2","short_extractive_qa","class7-english","7","111","What can I do to help save water at home?","[]","1 can reduce, reuse, and recycle help save water at home.","1 can reduce, reuse, and recycle help save water at home. In my garden, | should plant by walking to school and shops.","PASS","","","","","","","","Match the sentence parts in A with those in B. If I have shorter showers I will will keep me warm in winter. 1 can help keep cars off the road the waste I make. When I leave a room [ can save choose products with less Putting on a jumper instead of the plants that are good for Plastic bags harm wildlife, instead I use rechargeable ones. use bags made of jute or paper. 1 can dry my hair in the sun "
"class7-english-page-0112-generate_mcq-v2","generate_mcq","class7-english","7","112","According to the passage, what should you do to help save the environment?","[""Don’t use rechargeable batteries."", ""Plant trees."", ""Use hose pipes for watering plants."", ""Keep your lights and fans switched on all the time.""]","Plant trees.","* Plant trees. Don’t use hose pipes for + Use water from a bucket to wash washing cars and watering your things.","PASS","","","","","","","","Unit Nine: Climate Change 107 Look at the list of Dos and Don’ts to keep the environment safe. Then make a poster in groups on what you can/can’t do to save the environment in your city, town or village. Walk to your school and shops. Don’t use cars if you can walk, Dry your clothes and hair in the Don’t keep your lights and fans switched on all the time. * Plant trees. Don’t use hose pipes for + "
"class7-english-page-0112-short_extractive_qa-v2","short_extractive_qa","class7-english","7","112","What is one thing you can do to save the environment?","[]","Plant trees.","* Plant trees. Don’t use hose pipes for + Use water from a bucket to wash washing cars and watering your things.","PASS","","","","","","","","Unit Nine: Climate Change 107 Look at the list of Dos and Don’ts to keep the environment safe. Then make a poster in groups on what you can/can’t do to save the environment in your city, town or village. Walk to your school and shops. Don’t use cars if you can walk, Dry your clothes and hair in the Don’t keep your lights and fans switched on all the time. * Plant trees. Don’t use hose pipes for + "
