example_id,class_level,book_id,source_chunk_ids,task_type,question,answer,options,correct_answer,passage,evidence_quote,status,human_decision,review_notes
NCTB-SFT-00109,7,class7-english,class7-english-chunk-0036;class7-english-chunk-0037,mcq,What was the name of the train?,,The Kamalapur Express | The Dewanganj-bound Tista Express | The Arif Khan Train | The Robert Louis Stevenson Train,The Dewanganj-bound Tista Express,,"Zishan, Julie and their parents Mr and Mrs Arif Khan got into a 1* class compartment at Kamalapur Railway Station. It was the Dewanganj-bound Tista Express.",candidate,,
NCTB-SFT-00110,7,class7-english,class7-english-chunk-0036;class7-english-chunk-0037,passage_grounded_qa,Where did Zishan and Julie sit?,By the window beside their parents.,,,The children sat by the window beside their parents.,The children sat by the window beside their parents.,candidate,,
NCTB-SFT-00111,7,class7-english,class7-english-chunk-0055;class7-english-chunk-0056,mcq,What is a common problem experienced in Sundarpur during the summer?,,Frequent rain | Load shedding | Arsenic poisoning | Earthquakes,Load shedding,,"Although there is electricity in Sundarpur, the villagers experience frequent load shedding in summer.",candidate,,
NCTB-SFT-00112,7,class7-english,class7-english-chunk-0055;class7-english-chunk-0056,short_qa,What is the name of Kobita’s village?,The name of Kobita’s village is Sundarpur.,,,,The name of Kobita’s village is Sundarpur.,candidate,,
NCTB-SFT-00113,7,class7-english,class7-english-chunk-0055;class7-english-chunk-0056,mcq,What organization did Paul represent?,,A local NGO | An international NGO | A government agency | A private company,An international NGO,,Paul is a young volunteer of an international NGO in Bangladesh.,candidate,,
NCTB-SFT-00114,7,class7-english,class7-english-chunk-0055;class7-english-chunk-0056,passage_grounded_qa,Where did Paul go on his visit?,Paul went to Sundarpur High School.,,,Paul went to Sundarpur High School to meet the teachers and students there. He was warmly greeted by all.,Paul went to Sundarpur High School to meet the teachers and students there.,candidate,,
NCTB-SFT-00115,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,passage_grounded_qa,How long has this early summer been happening?,For the last four or five years.,,,"In fact, we’ve an early summer this year. It’s been happening for the last four or five years. Seasons are shifting.","In fact, we’ve an early summer this year. It’s been happening for the last four or five years.",candidate,,
NCTB-SFT-00116,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,short_qa,What is causing seasons to shift?,Climate change.,,,,"Well, it is because of climate change. And many things are happening on this earth due to climate change.",candidate,,
NCTB-SFT-00117,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,passage_grounded_qa,What is climbing because of climate change?,Temperatures,,,"And many things are happening on this earth due to climate change. For example, seasons are shifting, temperatures are climbing, and sea levels are rising.",temperatures are climbing,candidate,,
NCTB-SFT-00118,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,passage_grounded_qa,What month does summer usually start from?,April,,,Summer usually starts from April. But this year it has started in moving from April to March is a shift,Summer usually starts from April.,candidate,,
NCTB-SFT-00119,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,passage_grounded_qa,What month was it when Samina and Arif felt uncomfortable?,March,,,"Samina is in class 7 and Arif in class 6, They both felt very uncomfortable the other day. It was just the beginning of March and the day was very hot.",It was just the beginning of March and the day was very hot.,candidate,,
NCTB-SFT-00120,7,class7-english,class7-english-chunk-0060;class7-english-chunk-0061,mcq,What will happen if things go on like this?,,The planet will become cooler. | Our Planet Earth will be in danger. | Animals will disappear. | Rain will increase.,Our Planet Earth will be in danger.,,"If things go on like this, our Planet Earth will be in danger.",candidate,,
NCTB-SFT-00121,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,passage_grounded_qa,What are some of the effects of global warming and climate change in Bangladesh?,Adverse impacts of global warming and climate change,,,Bangladesh is already experiencing the adverse impacts of global warming and climate change.,Bangladesh is already experiencing the adverse impacts of global warming and climate change.,candidate,,
NCTB-SFT-00122,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,mcq,What does ‘go on’ mean in the sentence ‘If things go on like this...’?,,to stop | to change times | to continue | to begin,to change times,,In this sentence ‘go on’ means to change times,candidate,,
NCTB-SFT-00123,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,passage_grounded_qa,What event is mentioned as a disaster caused by climate change?,The damage caused by the Aila in 2009,,,Climate change has already started bringing disasters to Bangladesh. We remember the damage caused by the Aila in 2009.,We remember the damage caused by the Aila in 2009.,candidate,,
NCTB-SFT-00124,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,mcq,What is a ‘prolonged cold spells’?,,Short periods of cold weather. | Long duration of cold waves. | A warm and sunny day. | The beginning of winter.,Long duration of cold waves.,,The phrase ‘prolonged cold spells’ means long duration of cold waves.,candidate,,
NCTB-SFT-00125,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,short_qa,What is the estimated number of people who could become homeless due to sea-level rise?,5.5 million,,,,It is estimated that a 45 -centimetre rise of sea-level will flood almost 10.9 percent of our territory and will make 5.5 million people of our coastal regions homeless.,candidate,,
NCTB-SFT-00126,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,passage_grounded_qa,What percentage of Bangladesh’s territory could be flooded if the sea level rises by 45 centimetres?,Almost 10.9 percent,,,It is estimated that a 45 -centimetre rise of sea-level will flood almost 10.9 percent of our territory and will make 5.5 million people of our coastal regions homeless.,almost 10.9 percent of our territory,candidate,,
NCTB-SFT-00127,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,passage_grounded_qa,What two effects of climate change are currently happening in Bangladesh?,"Summers are becoming hotter, and the monsoon is irregular.",,,Bangladesh is already experiencing the adverse impacts of global warming and climate change. Summers are becoming hotter and the monsoon is irregular.,Summers are becoming hotter and the monsoon is irregular.,candidate,,
NCTB-SFT-00128,7,class7-english,class7-english-chunk-0062;class7-english-chunk-0063,mcq,Which of the following is a danger caused by climate change?,,Decreasing rainfall | Stronger cyclone and tornados | Increased forest cover | Milder temperatures,Stronger cyclone and tornados,,Stronger cyclone and tornados,candidate,,
NCTB-SFT-00129,7,class7-english,class7-english-chunk-0064;class7-english-chunk-0065,short_qa,What can you do instead of using air-conditioning?,Use hand fans.,,,,"You may use bicycles too. You can save energy by changing your lifestyle. For example, you can often avoid the air-conditioning in summer and_ use hand fans instead.",candidate,,
NCTB-SFT-00130,7,class7-english,class7-english-chunk-0066;class7-english-chunk-0067,short_qa,Who sat with Helen in class and helped her by interpreting lectures?,Anne Sullivan,,,,Anne Sullivan was always with Helen. She sat with Helen in class and hi...,candidate,,
NCTB-SFT-00131,7,class7-english,class7-english-chunk-0068;class7-english-chunk-0069,short_qa,What did the wise old man tell Alam?,"If you run from sunrise to sunset, all the land you cover will be yours.",,,,"“If you run from sunrise to sunset, all the land you cover will be yours,” he said.",candidate,,
NCTB-SFT-00132,7,class7-english,class7-english-chunk-0068;class7-english-chunk-0069,short_qa,What did they stand at after weeks of climbing?,The summit,,,,"Finally, after weeks of climbing, they stood at the summit...",candidate,,
NCTB-SFT-00133,7,class7-english,class7-english-chunk-0068;class7-english-chunk-0069,mcq,What was the height of Mount Everest?,,"7,912 meters | 8,848 meters | 6,000 meters | 9,000 meters","8,848 meters",,"Mount Everest, the world's highest peak at 8,848 meters (29,029 feet).",candidate,,
NCTB-SFT-00134,7,class7-english,class7-english-chunk-0068;class7-english-chunk-0069,passage_grounded_qa,What were some of the challenges faced by Hillary and Tenzing during their climb?,"Harsh weather, freezing temperatures, and thin air.",,,"The journey to the top of Everest was extremely challenging. Harsh weather, freezing temperatures, and thin air made the climb dangerous.","Harsh weather, freezing temperatures, and thin air made the climb dangerous.",candidate,,
NCTB-SFT-00135,7,class7-english,class7-english-chunk-0068;class7-english-chunk-0069,short_qa,Who knighted Edmund Hillary?,Queen Elizabeth II,,,,Edmund Hillary was later knighted by Queen Elizabeth II...,candidate,,
NCTB-SFT-00136,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,short_qa,What degree did Helen Keller earn?,A BA degree with honors.,,,,"It allowed her to gain knowledge, develop her commu- nication skills, and earn a BA degree with honors...",candidate,,
NCTB-SFT-00137,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,short_qa,What did Alam learn at the end of the story?,Greed leads to destruction. Be content with what you have.,,,,Greed leads to destruction. Be content with what you have.” Alam learned his lesson and returned to his village...,candidate,,
NCTB-SFT-00138,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,passage_grounded_qa,What is the name of the greedy farmer?,Alam,,,"The Greedy Farmer’s Lesson In a small village, there lived a greedy farmer named Alam. He had plenty of land and cattle, but he always wanted more.","In a small village, there lived a greedy farmer named Alam.",candidate,,
NCTB-SFT-00139,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,mcq,What motivated Alam’s actions?,,A desire for knowledge | Greed | A sense of duty | Fear of failure,Greed,,"Alam, driven by greed, decided to take the challenge.",candidate,,
NCTB-SFT-00140,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,short_qa,What was Helen Keller’s initial disability?,"She became deaf, dumb, and blind.",,,,"The turning point in Helen Keller’s life was when she became deaf, dumb, and blind after a high fever in 1882.",candidate,,
NCTB-SFT-00141,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,mcq,What was the main reason for Hillary and Tenzing’s achievement?,,Their physical strength | Determination and teamwork | Government funding | Expert mountaineering skills,Determination and teamwork,,They succeeded through determination and teamwork.,candidate,,
NCTB-SFT-00142,7,class7-english,class7-english-chunk-0070;class7-english-chunk-0071,passage_grounded_qa,When did Hillary and Tenzing reach the summit of Mount Everest?,"May 29, 1953",,,"On May 29, 1953, Sir Edmund Hillary and Tenzing Norgay became the first people to reach the summit of Mount Everest, the world’s highest peak.","On May 29, 1953, Sir Edmund Hillary and Tenzing Norgay became the first people to reach the summit of Mount Everest...",candidate,,
NCTB-SFT-00143,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,passage_grounded_qa,For how long has the art of creating Nakshi Kantha been practiced?,Centuries,,,The art has been practised in rural Bangladesh for centuries.,The art has been practised in rural Bangladesh for centuries.,candidate,,
NCTB-SFT-00144,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,mcq,What has increased the demand for Nakshi Kantha quilts?,,Their simplicity | The colourful patterns and designs embroidered on them | Their plain colours | Their large size,The colourful patterns and designs embroidered on them,,The quilts are now in great ~ demand because of the colourful patterns and designs embroidered on them.,candidate,,
NCTB-SFT-00145,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,mcq,What is the origin of Nakshi Kantha?,,China | Bangladesh and West Bengal in India | Japan | Pakistan,Bangladesh and West Bengal in India,,It is a kind of traditional craft and is said to be indigenous to Bangladesh and West Bengal in India.,candidate,,
NCTB-SFT-00146,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,short_qa,What kind of family did Hason Raja belong to?,A Bengali Muslim zaminder family.,,,,"He was born on 21st December 1854 in Teghoriya village of Lakshmansree Parghana, now Sunamganj to a Bengali Muslim zaminder family.",candidate,,
NCTB-SFT-00147,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,passage_grounded_qa,What materials are used to create traditional Nakshi Kantha quilts?,Old or new cloth and thread are used.,,,Traditional kanthas are made for family use. Old or new cloth and thread are used to make these quilts.,Traditional kanthas are made for family use. Old or new cloth and thread are used to make these quilts.,candidate,,
NCTB-SFT-00148,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,mcq,Where is the museum dedicated to preserving Hason Raja's memory located?,,Dhaka | Khulna | Sylhet | Rajshahi,Sylhet,,"Today, a museum in Sylhet is dedicated to preserving his memory and contributions.",candidate,,
NCTB-SFT-00149,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,short_qa,Where was Hason Raja born?,"Teghoriya village of Lakshmansree Parghana, now Sunamganj.",,,,"He was born on 21st December 1854 in Teghoriya village of Lakshmansree Parghana, now Sunamganj to a Bengali Muslim zaminder family.",candidate,,
NCTB-SFT-00150,8,class8-english,class8-english-chunk-0005;class8-english-chunk-0006,mcq,Which region is most famous for producing Nakshi Kantha?,,Barisal | Mymensingh | Khulna | Rangpur,Mymensingh,,"Mymensingh, Jamalpur, Rajshahi, Faridpur, Bogura and Jashore are most famous for this craft.",candidate,,
NCTB-SFT-00151,8,class8-english,class8-english-chunk-0007;class8-english-chunk-0009,mcq,Approximately how many languages are spoken in Bangladesh?,,10 | 25 | 35 | 50,35,,"Moreover, these communities speak at least 35 distinct languages, adding to the country's cultural richness.",candidate,,
NCTB-SFT-00152,8,class8-english,class8-english-chunk-0007;class8-english-chunk-0009,mcq,What is Hilsha considered to be by the people of Bangladesh?,,A common fish | Very popular | Rare and expensive | Unpopular,Very popular,,Hilsha is very popular among the people of Bangladesh.,candidate,,
NCTB-SFT-00153,8,class8-english,class8-english-chunk-0007;class8-english-chunk-0009,mcq,What is the staple food of Bangladesh?,,Rice | Wheat | Corn | Barley,Rice,,Boiled rice is our staple food.,candidate,,
NCTB-SFT-00154,8,class8-english,class8-english-chunk-0007;class8-english-chunk-0009,passage_grounded_qa,Where is fish cultivated in Bangladesh?,In ponds.,,,Fish is the main source of protein. Fish are now cultivated in ponds.,Fish are now cultivated in ponds.,candidate,,
NCTB-SFT-00155,8,class8-english,class8-english-chunk-0010;class8-english-chunk-0011,short_qa,What is pitha?,"A type of cakes made from rice flour, sugar, syrup, molasses and sometimes milk.",,,,"Pitha, a type of cakes made from rice flour, sugar, syrup, molasses and sometimes milk...",candidate,,
NCTB-SFT-00156,8,class8-english,class8-english-chunk-0010;class8-english-chunk-0011,mcq,What is the main ingredient in many Bangladeshi sweets?,,Wheat flour | Rice flour | Corn flour | Potato starch,Rice flour,,"Pitha, a type of cakes made from rice flour...",candidate,,
NCTB-SFT-00157,8,class8-english,class8-english-chunk-0010;class8-english-chunk-0011,mcq,Which of the following is a common Bangladeshi sweet?,,Pizza | Roshogolla | Pasta | Sushi,Roshogolla,,"The common ones are roshogolla, shondesh, roshmalai, gulab jam, kalo jam and chomchom.",candidate,,
NCTB-SFT-00158,8,class8-english,class8-english-chunk-0014;class8-english-chunk-0016,short_qa,Butter and ghee are a good source of what?,fat,,,,Butter and ghee are a good source of a. protein. b. fat. c. vitamins. d. carbohydrate.,candidate,,
NCTB-SFT-00159,8,class8-english,class8-english-chunk-0014;class8-english-chunk-0016,short_qa,What does a balanced diet contain?,A lot of vitamins and minerals.,,,,They contain a lot of vitamins and minerals. They keep our body free from diseases.,candidate,,
NCTB-SFT-00160,8,class8-english,class8-english-chunk-0014;class8-english-chunk-0016,mcq,What does milk contain?,,protein | fat | calcium | carbohydrate,calcium,,Milk is highly rich in calcium.,candidate,,
NCTB-SFT-00161,8,class8-english,class8-english-chunk-0014;class8-english-chunk-0016,mcq,What should we do regularly to keep our body fit?,,Eat only sweets | Exercise regularly | Stay up late | Drink sugary drinks,Exercise regularly,,We have to take a balanced diet. We must exercise regularly to keep our body fit for work.,candidate,,
NCTB-SFT-00162,8,class8-english,class8-english-chunk-0014;class8-english-chunk-0016,mcq,Which food has the most carbohydrate?,,Sugar | Rice | Fruits | Vegetables,Rice,,Which food has the most carbohydrate? a. Sugar b. Rice c. Fruits d. Vegetables,candidate,,
NCTB-SFT-00163,8,class8-english,class8-english-chunk-0017;class8-english-chunk-0018,short_qa,What does ‘hygiene’ mean?,The practice of keeping ourselves clean.,,,,The word ‘hygiene’ means the practice of keeping ourselves clean.,candidate,,
NCTB-SFT-00164,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,passage_grounded_qa,How can we obtain safe drinking water?,By boiling and filtering.,,,We can get safe water by boiling and filtering.,Our drinking water must be safe. We can get safe water by boiling and filtering.,candidate,,
NCTB-SFT-00165,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,mcq,What does the doctor advise Zahir Ali to do?,,To play sports. | To have a chest X-ray immediately. | To eat more vegetables. | To sleep early.,To have a chest X-ray immediately.,,I also advise you to have a chest X-ray immediately.,candidate,,
NCTB-SFT-00166,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,mcq,What is important for mental health?,,Cleanliness. | Exercise. | A healthy diet. | Bright sunshine.,Cleanliness.,,Cleanliness is very important for mental health.,candidate,,
NCTB-SFT-00167,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,short_qa,What should we do to keep the body and hair free from dirt and bacteria?,We should have a bath every day and wash our hair regularly.,,,,We should have a bath every day and wash our hair regularly.,candidate,,
NCTB-SFT-00168,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,passage_grounded_qa,When should you brush your teeth?,After breakfast and supper.,,,"We should brush our teeth twice a day, after breakfast and supper.","We should brush our teeth twice a day, after breakfast and supper.",candidate,,
NCTB-SFT-00169,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,passage_grounded_qa,Who greets the doctor and asks about his father's condition?,Rabi.,,,"Rabi: Good evening, doctor. Doctor: Good evening. How is your father today?","Rabi =: Good evening, doctor.",candidate,,
NCTB-SFT-00170,8,class8-english,class8-english-chunk-0019;class8-english-chunk-0020,mcq,Why should we wear socks and shoes?,,To look smart. | To protect our feet from dust and germs. | To keep our feet warm. | To play sports.,To protect our feet from dust and germs.,,We should wear socks and shoes when we go out to protect our feet from dust and germs.,candidate,,
NCTB-SFT-00171,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,mcq,"According to Mr. Larma, what is a major benefit of regular physical exercise?",,Increased appetite | Improved memory | Keeps you fit for work | Better sleep,Keeps you fit for work,,"""It keeps you fit for work.""",candidate,,
NCTB-SFT-00172,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,short_qa,What bad habit did his father have?,He used to smoke heavily.,,,,He used to smoke heavily. He got the bad habit from his college days.,candidate,,
NCTB-SFT-00173,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,short_qa,What did Rabi’s mother and she try to do?,Stop father from smoking.,,,,Both mother and I tried to stop father from smoking.,candidate,,
NCTB-SFT-00174,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,short_qa,What does Mr. Larma suggest for indoor exercises?,Freehand exercises.,,,,"""In the house, you can do some freehand exercises.""",candidate,,
NCTB-SFT-00175,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,mcq,What is the poisonous substance in tobacco leaves?,,Water | Nicotine | Carbon Dioxide | Oxygen,Nicotine,,There were dark marks on his lungs. The doctor explained to him that the marks were the signs of lung cancer. He also explained that a poisonous substance called nicotine is in tobacco leaves;,candidate,,
NCTB-SFT-00176,8,class8-english,class8-english-chunk-0021;class8-english-chunk-0022,short_qa,What was the doctor's diagnosis?,Lung cancer.,,,,There were dark marks on his lungs. The doctor explained to him that the marks were the signs of lung cancer.,candidate,,
NCTB-SFT-00177,8,class8-english,class8-english-chunk-0023;class8-english-chunk-0024,short_qa,What did the students decide to do?,Start working immediately.,,,,“We'll make the committee now and start working immediately.”,candidate,,
NCTB-SFT-00178,8,class8-english,class8-english-chunk-0023;class8-english-chunk-0024,passage_grounded_qa,What question did Ms. Saha ask?,Why is the classroom so dirty?,,,"Ms Subarna Saha, the class teacher, has just entered the classroom. She is now talking to the students. ""Why is the classroom so dirty?"" asks Ms. Saha.","""Why is the classroom so dirty?"" asks Ms. Saha.",candidate,,
NCTB-SFT-00179,8,class8-english,class8-english-chunk-0023;class8-english-chunk-0024,mcq,What should the students do according to the rules?,,Spit in the classroom. | Drop litter in the classroom. | Use the bin for trash. | Keep the desks and chairs in place.,Use the bin for trash.,,Here is a list of some of the rules: e Do not spit in the classroom. e Do not drop litter in the classroom. e Use the bin for trash. @ Keep the desks and chairs in place.,candidate,,
NCTB-SFT-00180,8,class8-english,class8-english-chunk-0025;class8-english-chunk-0026,passage_grounded_qa,What is the first question posed about finding information in a book?,How would you know which page to look for it? What do you do?,,,1. How would you know which page to look for it? What do you do?,1. How would you know which page to look for it? What do you do?,candidate,,
NCTB-SFT-00181,8,class8-english,class8-english-chunk-0025;class8-english-chunk-0026,mcq,What is the title of the first unit?,,The Kiwi | The Camel | The Polar Bear | The Hippopotamus,The Kiwi,,1. The Kiwi 3,candidate,,
NCTB-SFT-00182,8,class8-english,class8-english-chunk-0025;class8-english-chunk-0026,short_qa,What is the title of the table of contents page?,Check Your References,,,,Check Your References 35 Lesson 1: Introducing a Table of Contents,candidate,,
NCTB-SFT-00183,8,class8-english,class8-english-chunk-0025;class8-english-chunk-0026,passage_grounded_qa,What question does the text raise regarding using just a book's title?,Does the title only give you enough information about what the book is all about?,,,You get a new book in hand. You see the title of the book and you want to read it. But does the title only give you enough information about what the book is all about?,You get a new book in hand. You see the title of the book and you want to read it. But does the title only give you enough information about what the book is all about?,candidate,,
NCTB-SFT-00184,8,class8-english,class8-english-chunk-0030;class8-english-chunk-0031,passage_grounded_qa,How are words arranged in a dictionary?,In alphabetical order.,,,The words in a dictionary are presented in alphabetical order. It follows the alphabetical order of letters.,The words in a dictionary are presented in alphabetical order.,candidate,,
NCTB-SFT-00185,8,class8-english,class8-english-chunk-0030;class8-english-chunk-0031,passage_grounded_qa,In what order do words starting with the letter 'D' appear in a dictionary?,"Dark, deep, and doctor.",,,"For example, the words ‘dark, ‘doctor’ and ‘deep’ all start with the letter D. These words appear in the dictionary in the order of dark, deep and doctor.","‘dark, ‘doctor’ and ‘deep’ all start with the letter D. These words appear in the dictionary in the order of dark, deep and doctor.",candidate,,
NCTB-SFT-00186,8,class8-english,class8-english-chunk-0030;class8-english-chunk-0031,short_qa,What is a dictionary?,A collection of words.,,,,A dictionary is a collection of words.,candidate,,
NCTB-SFT-00187,8,class8-english,class8-english-chunk-0030;class8-english-chunk-0031,passage_grounded_qa,What should you do while completing activities related to dictionaries?,Use a dictionary or a dictionary page.,,,"While doing the activities, use a dictionary or a dictionary page as much as you can.","While doing the activities, use a dictionary or a dictionary page as much as you can.",candidate,,
NCTB-SFT-00188,8,class8-english,class8-english-chunk-0030;class8-english-chunk-0031,passage_grounded_qa,Where should you look to find words starting with a specific letter in a dictionary?,At the top of the page.,,,"To find the words with a letter, look at the words at the top of the page.","To find the words with a letter, look at the words at the top of the page.",candidate,,
NCTB-SFT-00189,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,short_qa,What does a dictionary give us?,The meaning/meanings of a word.,,,,A dictionary gives us the meaning/meanings of a word.,candidate,,
NCTB-SFT-00190,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,short_qa,What does a word may have?,More than one meaning.,,,,A word may have more than one meaning.,candidate,,
NCTB-SFT-00191,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,passage_grounded_qa,What does ‘dry’ mean in this sentence?,"Not wet, not damp, not sticky.",,,The river becomes dry during the summer.,"not wet, not damp, not sticky: The river becomes dry during the summer.",candidate,,
NCTB-SFT-00192,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,short_qa,What is an antonym?,A word that means the opposite of another word.,,,,'An antonym is a word that means the opposite of another word.',candidate,,
NCTB-SFT-00193,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,passage_grounded_qa,What kind of words are ‘right’ and ‘wrong’?,Antonyms,,,'right' and 'wrong' are examples of antonyms.,'right' and 'wrong' are examples of antonyms.,candidate,,
NCTB-SFT-00194,8,class8-english,class8-english-chunk-0032;class8-english-chunk-0033,mcq,Which of the following best describes a synonym?,,A word with a completely different meaning. | A word that means the same or almost the same as another word. | A word used to express sadness. | A word describing something large.,A word that means the same or almost the same as another word.,,A synonym is a word that means the same or almost the same as another word.,candidate,,
NCTB-SFT-00195,8,class8-english,class8-english-chunk-0034;class8-english-chunk-0035,mcq,What did Seryozha do with the siskin for two days?,,"He let it fly free. | He ignored it. | He fed it grain, changed its water and cleaned the cage. | He built a new nest.","He fed it grain, changed its water and cleaned the cage.",,"Seryozha put the siskin in a cage, and for two days he fed it grain, changed its water and cleaned the cage.",candidate,,
NCTB-SFT-00196,8,class8-english,class8-english-chunk-0034;class8-english-chunk-0035,mcq,What did Seryozha’s mother initially say about the bird catching net?,,It was a wonderful toy. | It was a nice gift. | It's not a nice toy at all. | It was perfectly safe.,It's not a nice toy at all.,,"His mother said, “It's not a nice toy at all. What do you want to do with little birds? Why do you want to torment them?”",candidate,,
NCTB-SFT-00197,8,class8-english,class8-english-chunk-0034;class8-english-chunk-0035,passage_grounded_qa,What happened when Seryozha cleaned the cage?,The siskin became frightened and beat its wings.,,,"Seryozha stuck his hand into the cage and began cleaning it, but the siskin became frightened and beat its wings against the cage.","Seryozha stuck his hand into the cage and began cleaning it, but the siskin became frightened and beat its wings against the cage.",candidate,,
NCTB-SFT-00198,8,class8-english,class8-english-chunk-0034;class8-english-chunk-0035,mcq,What kind of bird did Seryozha initially think he had caught?,,A robin | A nightingale | A sparrow | A pigeon,A nightingale,,"""Look, Mamma! I've caught a bird. It must be a nightingale.""",candidate,,
NCTB-SFT-00199,8,class8-english,class8-english-chunk-0039;class8-english-chunk-0040,mcq,What did the bears dance to?,,"Music from Earth | The Aurora Australis | Paw in paw, stepping in unison | A spotlight","Paw in paw, stepping in unison",,"Yet, it might be asked, what music do the descendants dance to? Paw in paw, stepping in unison what music can they possibly hear inside their heads as they dance under the full moon and the Aurora Australis, as they dance in brilliant silence?",candidate,,
NCTB-SFT-00200,8,class8-english,class8-english-chunk-0039;class8-english-chunk-0040,short_qa,What did the bears perform?,Splendid circus tricks.,,,,"it was discovered that all of them, to a bear, were performing splendid circus tricks.",candidate,,
NCTB-SFT-00201,8,class8-english,class8-english-chunk-0039;class8-english-chunk-0040,mcq,What kind of animal was a jaguar?,,A bird | A large wild cat | A reptile | An insect,A large wild cat,,Jaguar: A large wild cat found mainly in South America.,candidate,,
NCTB-SFT-00202,8,class8-english,class8-english-chunk-0039;class8-english-chunk-0040,mcq,What was Kodiak?,,A type of tree | A type of bear | A type of fish | A type of bird,A type of bear,,Note Kodiak: A type of bear that comes from Kodiak Island in Alaska.,candidate,,
NCTB-SFT-00203,8,class8-english,class8-english-chunk-0039;class8-english-chunk-0040,short_qa,Where did the bears eventually populate?,The entire island.,,,,After a number of generations populated the entire island.,candidate,,
NCTB-SFT-00204,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,mcq,How long after the circus incident did scientists discover the bears again?,,20 years | 50 years | 70 years | 100 years,70 years,,c) 70 years,candidate,,
NCTB-SFT-00205,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,mcq,What did Mr. Kobayashi believe was important for children to learn?,,Through textbooks and lectures. | By actually seeing things done. | Through formal teaching qualifications. | Through memorization and repetition.,By actually seeing things done.,,He thought it important for children to learn by actually seeing things done.,candidate,,
NCTB-SFT-00206,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,passage_grounded_qa,What did the headmaster ask the farmer to do?,Tell the children what to do and let’s get started.,,,"""Now then,” he said to the farmer, “tell the children what to do, and let's get started.""","""Now then,” he said to the farmer, “tell the children what to do, and let's get started.”",candidate,,
NCTB-SFT-00207,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,short_qa,What feature makes the crater unique?,Its walls are chalk white and reflective.,,,,b) Its walls are chalk white and reflective.,candidate,,
NCTB-SFT-00208,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,mcq,What unusual discovery did scientists make about the descendants of the original bears?,,They had become smaller in size. | They performed circus tricks naturally. | They had developed new hunting techniques. | They had become nocturnal.,They had developed new hunting techniques.,,c) They had developed new hunting techniques.,candidate,,
NCTB-SFT-00209,8,class8-english,class8-english-chunk-0041;class8-english-chunk-0042,short_qa,Why did the bears thrive on the uninhabited island?,They found an ideal climate and environment.,,,,b) They found an ideal climate and environment.,candidate,,
